date,weight_kg
2026-04-29,91.5
2026-04-30,91.2
2026-05-01,91
2026-05-03,90
2026-05-05,91.6
2026-05-06,91.2
2026-05-07,91.6
2026-05-08,90.6
2026-05-09,90.6
2026-05-10,90.7
2026-05-12,90.5
2026-05-13,90.2
2026-05-14,90.45
2026-05-15,90.8
2026-05-15,91.5
2026-05-17,91.1
2026-05-18,90.6
2026-05-24,90
2026-05-25,90.3
2026-05-26,89.7
2026-05-27,89.5
2026-05-28,89.5
2026-05-29,89.2
2026-05-31,89.9
2026-06-01,89.7
2026-06-02,89.5
2026-06-03,89.9
2026-06-05,89.8
2026-06-06,89.3
2026-06-07,89.7
2026-06-08,89.6
2026-06-09,89.3
2026-06-10,89
2026-06-11,88.7
2026-06-12,89
2026-06-13,89.1
2026-06-15,89.3
2026-06-16,88.6
2026-06-17,88.4
2026-06-18,88.6
2026-06-19,88.4
2026-06-21,88.4
2026-06-23,87.9
2026-06-24,88
