date,exercise,set_number,weight_kg,reps
2026-02-09,bench_press,1,80,5
2026-02-09,bench_press,2,80,5
2026-02-09,bench_press,3,80,5
2026-02-09,bench_press,4,80,5
2026-02-09,bench_press,5,80,5
2026-02-09,incline_dumbbell,1,22,10
2026-02-09,incline_dumbbell,2,22,10
2026-02-09,incline_dumbbell,3,22,7
2026-02-09,incline_dumbbell,4,22,5
2026-02-09,chest_press_machine,1,20,10
2026-02-09,chest_press_machine,2,20,10
2026-02-09,chest_press_machine,3,20,10
2026-02-09,lateral_raise,1,6,10
2026-02-09,lateral_raise,2,6,10
2026-02-09,lateral_raise,3,6,7
2026-02-09,tricep_dip,1,0,5
2026-02-09,tricep_dip,2,0,3
2026-02-09,tricep_dip,3,0,3
2026-02-10,supported_row,1,100,5
2026-02-10,supported_row,2,100,5
2026-02-10,supported_row,3,100,5
2026-02-10,supported_row,4,100,5
2026-02-10,supported_row,5,100,5
2026-02-10,pull_up,1,0,5
2026-02-10,pull_up,2,0,5
2026-02-10,pull_up,3,0,5
2026-02-10,pull_up,4,0,5
2026-02-10,pull_up,5,0,5
2026-02-10,ez_bar_curl,1,10,10
2026-02-10,ez_bar_curl,2,10,8
2026-02-10,ez_bar_curl,3,10,6
2026-02-11,overhead_press,1,50,5
2026-02-11,overhead_press,2,50,5
2026-02-11,overhead_press,3,50,5
2026-02-11,overhead_press,4,50,5
2026-02-11,seated_db_ohp,1,12,10
2026-02-11,seated_db_ohp,2,12,10
2026-02-11,seated_db_ohp,3,12,8
2026-02-11,seated_db_ohp,4,12,8
2026-02-11,lateral_raise,1,4,12
2026-02-11,lateral_raise,2,4,12
2026-02-11,lateral_raise,3,4,10
2026-02-11,face_pull,1,15,12
2026-02-11,face_pull,2,15,12
2026-02-11,face_pull,3,15,12
2026-02-11,leg_raise,1,0,6
2026-02-11,leg_raise,2,0,5
2026-02-11,leg_raise,3,0,4
2026-02-11,leg_raise,4,0,4
2026-02-11,leg_raise,5,0,3
2026-02-11,dead_bug,1,0,12
2026-02-11,dead_bug,2,0,12
2026-02-11,dead_bug,3,0,12
2026-02-12,bench_press,1,83,5
2026-02-12,bench_press,2,83,5
2026-02-12,bench_press,3,83,5
2026-02-12,bench_press,4,83,4
2026-02-12,bench_press,5,83,3
2026-02-12,incline_dumbbell,1,22,10
2026-02-12,incline_dumbbell,2,22,10
2026-02-12,incline_dumbbell,3,22,7
2026-02-12,incline_dumbbell,4,22,7
2026-02-12,chest_press_machine,1,25,10
2026-02-12,chest_press_machine,2,25,7
2026-02-12,chest_press_machine,3,25,7
2026-02-12,lateral_raise,1,5,12
2026-02-12,lateral_raise,2,5,10
2026-02-12,lateral_raise,3,5,10
2026-02-12,lateral_raise,4,5,8
2026-02-12,tricep_dip,1,0,5
2026-02-12,tricep_dip,2,0,5
2026-02-12,tricep_dip,3,0,3
2026-02-12,cable_tricep,1,19,10
2026-02-12,cable_tricep,2,19,10
2026-02-12,cable_tricep,3,19,10
2026-02-13,supported_row,1,105,5
2026-02-13,supported_row,2,105,5
2026-02-13,supported_row,3,105,5
2026-02-13,supported_row,4,105,5
2026-02-13,supported_row,5,105,5
2026-02-13,pull_up,1,5,5
2026-02-13,pull_up,2,5,5
2026-02-13,pull_up,3,5,5
2026-02-13,pull_up,4,5,5
2026-02-13,pull_up,5,5,5
2026-02-13,cable_row,1,15,10
2026-02-13,cable_row,2,19,10
2026-02-13,cable_row,3,19,10
2026-02-13,cable_row,4,19,10
2026-02-13,lat_pulldown,1,40,12
2026-02-13,lat_pulldown,2,47,12
2026-02-13,lat_pulldown,3,47,12
2026-02-13,ez_bar_curl,1,10,10
2026-02-13,ez_bar_curl,2,10,10
2026-02-13,ez_bar_curl,3,10,10
2026-02-16,bench_press,1,83,5
2026-02-16,bench_press,2,83,5
2026-02-16,bench_press,3,83,5
2026-02-16,bench_press,4,83,5
2026-02-16,bench_press,5,83,5
2026-02-16,incline_dumbbell,1,22,10
2026-02-16,incline_dumbbell,2,22,10
2026-02-16,incline_dumbbell,3,22,10
2026-02-16,incline_dumbbell,4,22,7
2026-02-16,chest_press_machine,1,30,10
2026-02-16,chest_press_machine,2,30,10
2026-02-16,chest_press_machine,3,30,10
2026-02-16,lateral_raise,1,5,10
2026-02-16,lateral_raise,2,5,10
2026-02-16,lateral_raise,3,5,10
2026-02-16,lateral_raise,4,5,10
2026-02-16,tricep_dip,1,0,5
2026-02-16,tricep_dip,2,0,5
2026-02-16,tricep_dip,3,0,5
2026-02-16,cable_tricep,1,19,10
2026-02-16,cable_tricep,2,19,10
2026-02-16,cable_tricep,3,19,10
2026-02-17,supported_row,1,110,5
2026-02-17,supported_row,2,110,5
2026-02-17,supported_row,3,110,5
2026-02-17,supported_row,4,110,5
2026-02-17,pull_up,1,10,5
2026-02-17,pull_up,2,10,5
2026-02-17,pull_up,3,10,5
2026-02-17,pull_up,4,10,5
2026-02-17,pull_up,5,10,5
2026-02-17,cable_row,1,13,10
2026-02-17,cable_row,2,13,8
2026-02-17,cable_row,3,13,8
2026-02-17,cable_row,4,13,8
2026-02-17,lat_pulldown,1,25,12
2026-02-17,lat_pulldown,2,25,12
2026-02-17,lat_pulldown,3,30,12
2026-02-17,ez_bar_curl,1,10,11
2026-02-17,ez_bar_curl,2,10,10
2026-02-17,ez_bar_curl,3,10,8
2026-02-17,ez_bar_curl,4,10,8
2026-02-19,bench_press,1,85,5
2026-02-19,bench_press,2,85,5
2026-02-19,bench_press,3,85,5
2026-02-19,bench_press,4,85,4
2026-02-19,bench_press,5,85,3
2026-02-19,incline_dumbbell,1,22,10
2026-02-19,incline_dumbbell,2,22,10
2026-02-19,incline_dumbbell,3,22,10
2026-02-19,incline_dumbbell,4,22,10
2026-02-19,chest_press_machine,1,25,10
2026-02-19,chest_press_machine,2,25,10
2026-02-19,chest_press_machine,3,25,10
2026-02-19,lateral_raise,1,5,10
2026-02-19,lateral_raise,2,5,10
2026-02-19,lateral_raise,3,5,10
2026-02-19,lateral_raise,4,5,10
2026-02-19,tricep_dip,1,0,6
2026-02-19,tricep_dip,2,0,6
2026-02-19,tricep_dip,3,0,6
2026-02-19,cable_tricep,1,20,10
2026-02-19,cable_tricep,2,20,10
2026-02-19,cable_tricep,3,20,10
2026-02-20,supported_row,1,115,5
2026-02-20,supported_row,2,115,5
2026-02-20,supported_row,3,115,5
2026-02-20,supported_row,4,115,5
2026-02-20,supported_row,5,115,4
2026-02-20,pull_up,1,15,5
2026-02-20,pull_up,2,15,4
2026-02-20,pull_up,3,15,2
2026-02-20,pull_up,4,0,5
2026-02-20,pull_up,5,0,5
2026-02-20,cable_row,1,13,10
2026-02-20,cable_row,2,13,10
2026-02-20,cable_row,3,13,10
2026-02-20,cable_row,4,13,8
2026-02-20,lat_pulldown,1,30,12
2026-02-20,lat_pulldown,2,30,12
2026-02-20,lat_pulldown,3,30,12
2026-02-20,ez_bar_curl,1,10,11
2026-02-20,ez_bar_curl,2,10,11
2026-02-20,ez_bar_curl,3,10,10
2026-02-20,ez_bar_curl,4,10,6
2026-02-24,supported_row,1,115,5
2026-02-24,supported_row,2,115,5
2026-02-24,supported_row,3,115,5
2026-02-24,supported_row,4,115,5
2026-02-24,supported_row,5,115,5
2026-02-24,bench_press,1,85,5
2026-02-24,bench_press,2,85,5
2026-02-24,bench_press,3,85,5
2026-02-24,bench_press,4,75,5
2026-02-24,bench_press,5,75,5
2026-02-24,lateral_raise,1,5,10
2026-02-24,lateral_raise,2,5,10
2026-02-24,lateral_raise,3,5,10
2026-02-24,lateral_raise,4,5,10
2026-02-24,pull_up,1,0,5
2026-02-24,pull_up,2,0,5
2026-02-24,pull_up,3,0,5
2026-02-24,pull_up,4,0,5
2026-02-24,pull_up,5,0,5
2026-02-24,tricep_dip,1,0,5
2026-02-24,tricep_dip,2,0,5
2026-02-24,tricep_dip,3,0,5
2026-02-24,tricep_dip,4,0,5
2026-02-24,tricep_dip,5,0,5
2026-02-25,overhead_press,1,53,5
2026-02-25,overhead_press,2,53,5
2026-02-25,overhead_press,3,53,3
2026-02-25,overhead_press,4,43,5
2026-02-25,overhead_press,5,43,5
2026-02-25,seated_db_ohp,1,12,10
2026-02-25,seated_db_ohp,2,12,10
2026-02-25,seated_db_ohp,3,12,10
2026-02-25,lateral_raise,1,5,12
2026-02-25,lateral_raise,2,5,12
2026-02-25,lateral_raise,3,5,12
2026-02-25,lateral_raise,4,5,12
2026-02-25,face_pull,1,17.5,12
2026-02-25,face_pull,2,17.5,12
2026-02-25,face_pull,3,17.5,12
2026-02-25,leg_raise,1,0,5
2026-02-25,leg_raise,2,0,5
2026-02-25,leg_raise,3,0,5
2026-02-25,leg_raise,4,0,5
2026-02-25,leg_raise,5,0,4
2026-02-28,bench_press,1,85,5
2026-02-28,bench_press,2,85,5
2026-02-28,bench_press,3,85,5
2026-02-28,bench_press,4,85,5
2026-02-28,bench_press,5,85,5
2026-02-28,incline_dumbbell,1,24,10
2026-02-28,incline_dumbbell,2,24,4
2026-02-28,incline_dumbbell,3,20,10
2026-02-28,incline_dumbbell,4,20,8
2026-02-28,chest_press_machine,1,40,10
2026-02-28,chest_press_machine,2,40,10
2026-02-28,chest_press_machine,3,40,8
2026-02-28,lateral_raise,1,6,10
2026-02-28,lateral_raise,2,6,10
2026-02-28,lateral_raise,3,6,10
2026-02-28,lateral_raise,4,6,10
2026-02-28,tricep_dip,1,0,7
2026-02-28,tricep_dip,2,0,7
2026-02-28,tricep_dip,3,0,5
2026-03-01,supported_row,1,60,5
2026-03-01,supported_row,2,60,5
2026-03-01,supported_row,3,60,5
2026-03-01,supported_row,4,60,5
2026-03-01,supported_row,5,60,5
2026-03-01,pull_up,1,0,5
2026-03-01,pull_up,2,0,5
2026-03-01,pull_up,3,0,5
2026-03-01,pull_up,4,0,5
2026-03-01,pull_up,5,0,5
2026-03-01,cable_row,1,25,8
2026-03-01,cable_row,2,25,8
2026-03-01,cable_row,3,25,8
2026-03-01,cable_row,4,25,8
2026-03-01,lat_pulldown,1,30,12
2026-03-01,lat_pulldown,2,30,12
2026-03-01,lat_pulldown,3,30,12
2026-03-01,ez_bar_curl,1,10,11
2026-03-01,ez_bar_curl,2,10,11
2026-03-01,ez_bar_curl,3,10,11
2026-03-01,ez_bar_curl,4,10,11
2026-03-04,overhead_press,1,50,5
2026-03-04,overhead_press,2,50,5
2026-03-04,overhead_press,3,50,5
2026-03-04,overhead_press,4,50,5
2026-03-04,overhead_press,5,50,5
2026-03-04,seated_db_ohp,1,14,10
2026-03-04,seated_db_ohp,2,14,10
2026-03-04,seated_db_ohp,3,14,10
2026-03-04,seated_db_ohp,4,14,10
2026-03-04,lateral_raise,1,6,10
2026-03-04,lateral_raise,2,6,10
2026-03-04,lateral_raise,3,6,10
